 Guadeloupe = Guadeloupe
 Guam = Guam
 Guatemala = Guatemala
 Guinea = Guinea
 Guyana = Guyana
 Haiti = Haïti
 Honduras = Honduras
 Hong Kong = Hong Kong
 Hungary = Hongarije
 Iceland = IJsland
 India = Indië
 Indonesia = Indonesië
 Iran = Iran
 Iraq = Irak
 Ireland = Ierland
 Israel = Israël
 Italy = Italië
 Ivory Coast = Ivoorkust
 Jamaica = Jamaica
 Japan = Japan
 Jordan = Jordanië
 Kazakhstan = Kazachstan
 Kenya = Kenia
 Kiribati = Kiribati
 Korea = Korea
 Kosovo = Kosovo
 Kuwait = Koeweit
 Kyrgyzstan = Kirgizië
 Laos = Laos
 Latvia = Letland
 Lebanon = Libanon
 Liberia = Liberia
 Liechtenstein = Liechtenstein
 Lithuania = Litouwen
 Luxembourg = Luxemburg
 Macao = Macao
 Macau = Macau
 Madagascar = Madagascar
 Malaysia = Maleisië
 Maldives = Maldiven
 Mali = Mali
 Malta = Malta
 Martinique = Martinique
 Mauritius = Mauritius
 Mexico = Mexico
 Moldova = Moldavië
 Monaco = Monaco
 Mongolia = Mongolië
 Montenegro = Montenegro
 Morocco = Marokko
 Mozambique = Mozambique
 Myanmar = Myanmar
 Namibia = Namibië
 Nepal = Nepal
 Netherlands = Nederland
 Netherlands Antilles = Nederlandse Antillen
 New Caledonia = Nieuw-Caledonië
 New Zealand = Nieuw Zeeland
 Nicaragua = Nicaragua
 Nigeria = Nigeria
 North Korea = Noord Korea
 Norway = Noorwegen
 Occupied Palestinian Territory = Bezette Palestijnse gebieden
 Oman = Oman
 Pakistan = Pakistan
 Palau = Palau
 Panama = Panama
 Papua New Guinea = Papoea-Nieuw-Guinea 
 Paraguay = Paraguay
 Peru = Peru
 Philippines = Filippijnen
 Poland = Polen
 Portugal = Portugal
 Puerto Rico = Puerto Rico
 Qatar = Katar
 Republic of Macedonia = Republiek Macedonië
 Reunion = Reunion
 Romania = Roemenië
 Russia = Rusland
 Rwanda = Rwanda
 Saint Barthï¿½lemy = Saint Barthï¿½lemy
 Saint Lucia = Saint Lucia
 San Marino = San Marino
 Sao Tome and Principe = Sao Tomé en Principe
 Saudi Arabia = Saoedi-Arabië
 Senegal = Senegal
 Serbia = Servië
 Serbia and Montenegro = Servië en Montenegro
 Seychelles = Seychellen
 Singapore = Singapore
 Slovakia = Slowakije
 Slovenia = Slovenië
 Somalia = Somalië
 South Africa = Zuid-Afrika
 South Korea = Zuid-Korea
 Soviet Union = Sovjet Unie
 Spain = Spanje
 Sri Lanka = Sri Lanka
 Sudan = Soedan
 Suriname = Suriname
 Swaziland = Swaziland
 Sweden = Zweden
 Switzerland = Zwitserland
 Syria = Syrië
 Taiwan = Taiwan
 Tajikistan = Tadzjikistan
 Tanzania = Tanzania
 Thailand = Thailand
 Timor-Leste = Timor-Leste
 Togo = Gaan
 Tonga = Tonga
 Trinidad and Tobago = Trinidad en Tobago
 Tunisia = Tunesië
 Turkey = Turkije
 Turks and Caicos Islands = Turks- en Caicoseilanden
 U.S. Virgin Islands = Amerikaanse Maagdeneilanden
 Uganda = Oeganda
 UK = UK
 Ukraine = Oekraïne 
 United Arab Emirates = Verenigde Arabische Emiraten
 United States Minor Outlying Islands = Kleine afgelegen eilanden van de Verenigde Staten
 Uruguay = Uruguay
 USA = Verenigde Staten van Amerika
 Uzbekistan = Oezbekistan
 Venezuela = Venezuela
 Vietnam = Vietnam
 West Germany = West-Duitsland
 Western Sahara = Westelijke Sahara
 Worldwide = Wereldwijd
 Yemen = Jemen
 Yugoslavia = Joegoslavië
 Zambia = Zambia
 Zimbabwe = Zimbabwe
